index,label
10004,1
10005,1
10007,1
10011,1
10018,1
10023,1
10029,1
10049,1
10055,1
10057,1
10072,1
10091,1
10093,1
10095,1
10103,1
10104,1
10115,1
10120,1
10122,1
10129,1
10139,1
10152,1
10162,1
10163,1
10178,1
10189,1
10200,1
10202,1
10214,1
10239,1
10241,1
10246,1
10250,1
10256,1
10257,1
10265,1
10267,1
10277,1
10283,1
10284,1
10286,1
10287,1
10288,1
10302,1
10319,1
10320,1
10322,1
10328,1
10329,1
10330,1
10331,1
10353,1
10356,1
10357,1
10365,1
10380,1
10390,1
10391,1
10397,1
10402,1
10408,1
10413,1
10423,1
10428,1
10430,1
10433,1
10448,1
10449,1
10454,1
10459,1
10461,1
10469,1
10471,1
10498,1
10500,1
10504,1
10512,1
10520,1
10524,1
10526,1
10532,1
10536,1
10543,1
10550,1
10552,1
10553,1
10582,1
10585,1
10588,1
10597,1
10598,1
10604,1
10611,1
10617,1
10620,1
10656,1
10662,1
10664,1
10670,1
10671,1
10673,1
10675,1
10681,1
10686,1
10695,1
10698,1
10706,1
10731,1
10734,1
10751,1
10756,1
10762,1
10780,1
10783,1
10791,1
10795,1
10798,1
10805,1
10826,1
10835,1
10841,1
10844,1
10859,1
10862,1
10863,1
10874,1
10880,1
10891,1
10895,1
10896,1
10899,1
10911,1
10912,1
10913,1
10920,1
10930,1
10937,1
10939,1
10942,1
10946,1
10961,1
10964,1
10967,1
10974,1
10977,1
10981,1
10983,1
10984,1
10997,1
10999,1
11000,1
11008,1
11018,1
11030,1
11037,1
11044,1
11048,1
11052,1
11054,1
11056,1
11057,1
11063,1
11070,1
11074,1
11083,1
11089,1
11090,1
11093,1
11097,1
11113,1
11125,1
11132,1
11142,1
11146,1
11169,1
11182,1
11185,1
11200,1
11214,1
11216,1
11218,1
11221,1
11224,1
11228,1
11230,1
11236,1
11262,1
11263,1
11275,1
11298,1
11312,1
11320,1
11331,1
11334,1
11335,1
11336,1
11357,1
11358,1
11359,1
11367,1
11374,1
11375,1
11378,1
11383,1
11389,1
11420,1
11432,1
11444,1
11452,1
11453,1
11461,1
11488,1
11492,1
11504,1
11506,1
11512,1
11516,1
11520,1
11530,1
11539,1
11550,1
11575,1
11578,1
11579,1
11588,1
11591,1
11594,1
11596,1
11598,1
11615,1
11620,1
11633,1
11647,1
11657,1
11682,1
11686,1
11691,1
11697,1
11701,1
11707,1
11709,1
11721,1
11730,1
11736,1
11737,1
11742,1
11744,1
11754,1
11760,1
11763,1
11764,1
11768,1
11770,1
11771,1
11772,1
11773,1
11774,1
11782,1
11791,1
11795,1
11798,1
11805,1
11823,1
11826,1
11835,1
11847,1
11852,1
11855,1
11857,1
11862,1
11863,1
11866,1
11868,1
11870,1
11883,1
11891,1
11896,1
11899,1
11920,1
11922,1
11936,1
11943,1
11948,1
11963,1
11964,1
11965,1
11970,1
11972,1
11979,1
11980,1
11999,1
12001,1
12002,1
12007,1
12010,1
12032,1
12038,1
12048,1
12049,1
12050,1
12057,1
12059,1
12061,1
12069,1
12072,1
12073,1
12078,1
12082,1
12083,1
12089,1
12094,1
12105,1
12107,1
12108,1
12117,1
12119,1
12123,1
12125,1
12128,1
12137,1
12142,1
12145,1
12155,1
12159,1
12166,1
12170,1
12173,1
12175,1
12176,1
12194,1
12198,1
12202,1
12205,1
12211,1
12215,1
12218,1
12219,1
12221,1
12231,1
12248,1
12250,1
12251,1
12262,1
12265,1
12267,1
12269,1
12271,1
12280,1
12282,1
12285,1
12294,1
12302,1
12308,1
12313,1
12325,1
12333,1
12355,1
12358,1
12375,1
12377,1
12380,1
12385,1
12393,1
12405,1
12410,1
12413,1
12414,1
12419,1
12433,1
12439,1
12455,1
12461,1
12475,1
12478,1
12484,1
12485,1
12493,1
12494,1
12502,1
12507,1
12519,1
12520,1
12523,1
12527,1
12537,1
12538,1
12540,1
12541,1
12544,1
12549,1
12551,1
12556,1
12558,1
12559,1
12562,1
12577,1
12578,1
12590,1
12598,1
12599,1
12621,1
12627,1
12631,1
12635,1
12639,1
12642,1
12652,1
12661,1
12663,1
12664,1
12667,1
12669,1
12670,1
12675,1
12677,1
12678,1
12679,1
12689,1
12693,1
12716,1
12719,1
12731,1
12746,1
12750,1
12751,1
12762,1
12768,1
12771,1
12778,1
12793,1
12801,1
12803,1
12805,1
12806,1
12813,1
12815,1
12821,1
12826,1
12831,1
12837,1
12844,1
12855,1
12858,1
12860,1
12867,1
12872,1
12886,1
12888,1
12898,1
12908,1
12925,1
12927,1
12930,1
12954,1
12973,1
12975,1
12978,1
12984,1
12986,1
12992,1
12993,1
12994,1
13002,1
13009,1
13014,1
13022,1
13023,1
13041,1
13044,1
13049,1
13050,1
13051,1
13061,1
13078,1
13082,1
13083,1
13084,1
13090,1
13091,1
13092,1
13096,1
13097,1
13100,1
13105,1
13117,1
13123,1
13128,1
13130,1
13135,1
13143,1
13152,1
13162,1
13174,1
13175,1
13185,1
13186,1
13203,1
13207,1
13239,1
13250,1
13256,1
13262,1
13263,1
13264,1
13267,1
13280,1
13307,1
13308,1
13315,1
13319,1
13340,1
13346,1
13349,1
13355,1
13363,1
13374,1
13376,1
13379,1
13381,1
13383,1
13388,1
13390,1
13405,1
13406,1
13411,1
13420,1
13430,1
13437,1
13457,1
13460,1
13461,1
13468,1
13472,1
13476,1
13482,1
13486,1
13491,1
13499,1
13504,1
13523,1
13531,1
13534,1
13546,1
13555,1
13560,1
13563,1
13565,1
13575,1
13585,1
13589,1
13603,1
13607,1
13618,1
13628,1
13635,1
13640,1
13656,1
13659,1
13666,1
13668,1
13672,1
13681,1
13683,1
13687,1
13701,1
13717,1
13722,1
13726,1
13736,1
13744,1
13745,1
13749,1
13750,1
13753,1
13754,1
13755,1
13761,1
13772,1
13773,1
13782,1
13783,1
13789,1
13791,1
13803,1
13807,1
13813,1
13817,1
13819,1
13826,1
13827,1
13832,1
13839,1
13851,1
13861,1
13870,1
13872,1
13879,1
13885,1
13890,1
13895,1
13896,1
13898,1
13899,1
13902,1
13905,1
13908,1
13917,1
13920,1
13923,1
13929,1
13939,1
13949,1
13952,1
13953,1
13961,1
13963,1
13965,1
13969,1
13974,1
13991,1
13993,1
13996,1
13999,1
14000,1
14001,1
14003,1
14004,1
14015,1
14023,1
14027,1
14044,1
14065,1
14096,1
14111,1
14117,1
14120,1
14127,1
14141,1
14143,1
14150,1
14153,1
14154,1
14165,1
14187,1
14189,1
14192,1
14195,1
14197,1
14204,1
14207,1
14209,1
14212,1
14213,1
14231,1
14240,1
14245,1
14248,1
14263,1
14271,1
14274,1
14302,1
14307,1
14315,1
14326,1
14329,1
14341,1
14343,1
14349,1
14351,1
14353,1
14354,1
14355,1
14357,1
14371,1
14374,1
14376,1
14380,1
14386,1
14394,1
14395,1
14409,1
14422,1
14429,1
14432,1
14441,1
14478,1
14479,1
14495,1
14501,1
14508,1
14518,1
14520,1
14530,1
14545,1
14550,1
14556,1
14559,1
14562,1
14569,1
14570,1
14576,1
14582,1
14587,1
14588,1
14602,1
14603,1
14616,1
14617,1
14620,1
14627,1
14629,1
14630,1
14638,1
14639,1
14643,1
14644,1
14651,1
14659,1
14664,1
14680,1
14687,1
14689,1
14694,1
14696,1
14701,1
14703,1
14704,1
14714,1
14718,1
14723,1
14724,1
14734,1
14740,1
14741,1
14746,1
14753,1
14756,1
14764,1
14765,1
14784,1
14785,1
14791,1
14795,1
14799,1
14809,1
14825,1
14826,1
14830,1
14836,1
14868,1
14886,1
14890,1
14898,1
14902,1
14906,1
14915,1
14916,1
14931,1
14936,1
14953,1
14959,1
14966,1
15006,1
15009,1
15011,1
15013,1
15035,1
15053,1
15058,1
15103,1
15106,1
15117,1
15121,1
15126,1
15130,1
15135,1
15145,1
15170,1
15180,1
15186,1
15188,1
15192,1
15198,1
15201,1
15205,1
15210,1
15212,1
15217,1
15222,1
15224,1
15229,1
15232,1
15237,1
15239,1
15242,1
15260,1
15266,1
15270,1
15289,1
15292,1
15297,1
15298,1
15299,1
15308,1
15314,1
